lr,val_mae,val_rmse,epoch,step,train_mae,train_rmse,test_mae,test_rmse
0.009799995459616184,501.07989501953125,648.247314453125,0,179,,,,
,,,0,179,1200.7999267578125,1241.75341796875,,
0.009600005112588406,62.12358474731445,104.63663482666016,1,359,,,,
,,,1,359,184.11395263671875,255.98191833496094,,
0.009400002658367157,96.94181060791016,107.47628784179688,2,539,,,,
,,,2,539,67.96404266357422,98.82646179199219,,
0.009200004860758781,30.272550582885742,44.085960388183594,3,719,,,,
,,,3,719,53.047428131103516,70.38932037353516,,
0.009000002406537533,146.49530029296875,151.29469299316406,4,899,,,,
,,,4,899,48.68636703491211,61.74562072753906,,
0.008799999952316284,98.83207702636719,104.2657241821289,5,1079,,,,
,,,5,1079,46.37330627441406,57.534461975097656,,
0.008599997498095036,131.94923400878906,136.80154418945312,6,1259,,,,
,,,6,1259,45.1159553527832,55.25695037841797,,
0.008399995975196362,139.13006591796875,144.10848999023438,7,1439,,,,
,,,7,1439,44.21458435058594,53.59107971191406,,
0.008199998177587986,83.93238067626953,90.11485290527344,8,1619,,,,
,,,8,1619,43.72126770019531,52.819053649902344,,
0.007999996654689312,133.6256561279297,138.07757568359375,9,1799,,,,
,,,9,1799,42.71197509765625,51.36092758178711,,
0.007800002116709948,105.21194458007812,110.55148315429688,10,1979,,,,
,,,10,1979,42.68913269042969,51.282161712646484,,
0.007600001525133848,49.905887603759766,55.471885681152344,11,2159,,,,
,,,11,2159,42.984073638916016,51.347206115722656,,
0.007400003261864185,32.420413970947266,38.38068771362305,12,2339,,,,
,,,12,2339,42.54242706298828,50.786376953125,,
0.007200002204626799,16.598527908325195,23.72825813293457,13,2519,,,,
,,,13,2519,42.254878997802734,50.33123016357422,,
0.00699999975040555,52.862796783447266,58.99799346923828,14,2699,,,,
,,,14,2699,42.020931243896484,50.14263916015625,,
0.006799998693168163,27.700422286987305,34.16895294189453,15,2879,,,,
,,,15,2879,41.49921417236328,49.35084533691406,,
0.006599995773285627,42.000328063964844,48.456939697265625,16,3059,,,,
,,,16,3059,41.31057357788086,49.06106948852539,,
0.006399999838322401,33.17655563354492,40.167442321777344,17,3239,,,,
,,,17,3239,41.00328063964844,48.65293502807617,,
0.006199998781085014,39.60985565185547,45.84211730957031,18,3419,,,,
,,,18,3419,40.80584716796875,48.40544891357422,,
0.005999999586492777,33.31205749511719,39.64747619628906,19,3599,,,,
,,,19,3599,40.534305572509766,48.00169372558594,,
0.0057999975979328156,34.13447952270508,40.12397766113281,20,3779,,,,
,,,20,3779,40.39225387573242,47.84979248046875,,
0.0056000021286308765,32.39698791503906,38.1757926940918,21,3959,,,,
,,,21,3959,40.24664306640625,47.617279052734375,,
0.005400001537054777,33.61510467529297,39.696529388427734,22,4139,,,,
,,,22,4139,40.17359924316406,47.60378646850586,,
0.0051999990828335285,40.10121154785156,45.26457977294922,23,4319,,,,
,,,23,4319,40.214393615722656,47.621070861816406,,
0.004999998025596142,21.264163970947266,27.08982276916504,24,4499,,,,
,,,24,4499,40.02252197265625,47.249420166015625,,
0.004800002556294203,33.393863677978516,38.685611724853516,25,4679,,,,
,,,25,4679,39.92319107055664,47.188358306884766,,
0.004600002430379391,30.618640899658203,36.07954025268555,26,4859,,,,
,,,26,4859,39.83113098144531,46.95797348022461,,
0.004399999976158142,41.437747955322266,45.99064636230469,27,5039,,,,
,,,27,5039,39.680641174316406,46.76240921020508,,
0.004199997987598181,37.83382797241211,42.55020523071289,28,5219,,,,
,,,28,5219,39.5348014831543,46.47352600097656,,
0.003999998327344656,17.129438400268555,22.54666519165039,29,5399,,,,
,,,29,5399,39.42595672607422,46.3408317565918,,
0.003800000762566924,16.25673484802246,21.687467575073242,30,5579,,,,
,,,30,5579,39.329566955566406,46.31971740722656,,
0.0036000011023133993,16.589094161987305,21.91292381286621,31,5759,,,,
,,,31,5759,39.262081146240234,46.17825698852539,,
0.0033999993465840816,24.318031311035156,29.37875747680664,32,5939,,,,
,,,32,5939,39.08879089355469,46.030399322509766,,
0.0031999999191612005,16.115739822387695,21.29448890686035,33,6119,,,,
,,,33,6119,39.120792388916016,45.957515716552734,,
0.0029999997932463884,21.256696701049805,26.4063720703125,34,6299,,,,
,,,34,6299,38.89884567260742,45.716285705566406,,
0.0028000010643154383,14.121524810791016,19.55016326904297,35,6479,,,,
,,,35,6479,38.972991943359375,45.74061965942383,,
0.0025999995414167643,15.552149772644043,20.794769287109375,36,6659,,,,
,,,36,6659,38.85224151611328,45.57709503173828,,
0.0024000012781471014,14.162261009216309,19.51626205444336,37,6839,,,,
,,,37,6839,38.86027145385742,45.56333923339844,,
0.002199999988079071,13.615538597106934,19.268234252929688,38,7019,,,,
,,,38,7019,38.729305267333984,45.38323211669922,,
0.001999999163672328,13.752229690551758,19.374595642089844,39,7199,,,,
,,,39,7199,38.594478607177734,45.25046157836914,,
0.0018000005511566997,14.598140716552734,20.144786834716797,40,7379,,,,
,,,40,7379,38.4940071105957,45.13957595825195,,
0.0015999999595806003,25.10403823852539,29.727558135986328,41,7559,,,,
,,,41,7559,38.46074676513672,45.02465057373047,,
0.0014000005321577191,23.23250389099121,28.0288028717041,42,7739,,,,
,,,42,7739,38.33192825317383,44.83409118652344,,
0.0012000006390735507,23.805238723754883,28.64844512939453,43,7919,,,,
,,,43,7919,38.28541946411133,44.77215576171875,,
0.000999999581836164,21.623531341552734,26.925594329833984,44,8099,,,,
,,,44,8099,38.214359283447266,44.622779846191406,,
0.0007999999797903001,21.192623138427734,26.967226028442383,45,8279,,,,
,,,45,8279,38.14836883544922,44.535255432128906,,
