lr,val_mae,val_rmse,epoch,step,train_mae,train_rmse,test_mae,test_rmse
0.009999996051192284,62.93739318847656,78.72743225097656,0,179,,,,
,,,0,179,85.0435791015625,110.2309799194336,,
0.009999996051192284,36.51719665527344,54.199989318847656,1,359,,,,
,,,1,359,35.91045379638672,52.026302337646484,,
0.009999996051192284,31.21571159362793,48.53907775878906,2,539,,,,
,,,2,539,29.232667922973633,45.26107406616211,,
0.009999996051192284,32.92556381225586,42.01500701904297,3,719,,,,
,,,3,719,26.6610164642334,40.89036560058594,,
0.009999996051192284,18.84992218017578,28.59398651123047,4,899,,,,
,,,4,899,24.19552993774414,35.97066879272461,,
0.009999996051192284,19.3603572845459,30.599056243896484,5,1079,,,,
,,,5,1079,21.956470489501953,34.10190963745117,,
0.009999996051192284,25.521411895751953,39.81086349487305,6,1259,,,,
,,,6,1259,21.110797882080078,31.437788009643555,,
0.009999996051192284,24.14488410949707,32.19998550415039,7,1439,,,,
,,,7,1439,21.670656204223633,34.50225830078125,,
0.009999996051192284,16.310537338256836,24.4207706451416,8,1619,,,,
,,,8,1619,20.388145446777344,30.80144500732422,,
0.009999996051192284,18.08632469177246,26.215696334838867,9,1799,,,,
,,,9,1799,19.937667846679688,31.584613800048828,,
0.009999996051192284,18.52927589416504,27.510812759399414,10,1979,,,,
,,,10,1979,19.37287712097168,28.979320526123047,,
0.009999996051192284,16.25902557373047,23.445995330810547,11,2159,,,,
,,,11,2159,20.061866760253906,29.052278518676758,,
0.009999996051192284,17.358867645263672,24.099498748779297,12,2339,,,,
,,,12,2339,19.5406494140625,30.093809127807617,,
0.009999996051192284,16.16433334350586,24.154809951782227,13,2519,,,,
,,,13,2519,20.911542892456055,30.437835693359375,,
0.009999996051192284,21.288358688354492,28.345138549804688,14,2699,,,,
,,,14,2699,20.993555068969727,32.4554443359375,,
0.002499999012798071,12.536652565002441,17.81886100769043,15,2879,,,,
,,,15,2879,13.799657821655273,20.8543643951416,,
0.002499999012798071,12.590717315673828,17.424074172973633,16,3059,,,,
,,,16,3059,12.678823471069336,18.46485137939453,,
0.002499999012798071,14.338212966918945,20.923694610595703,17,3239,,,,
,,,17,3239,12.521443367004395,17.802465438842773,,
0.002499999012798071,13.228300094604492,18.253419876098633,18,3419,,,,
,,,18,3419,12.726256370544434,18.01059341430664,,
0.002499999012798071,14.265692710876465,20.698610305786133,19,3599,,,,
,,,19,3599,12.788946151733398,18.299104690551758,,
0.002499999012798071,13.128141403198242,17.651845932006836,20,3779,,,,
,,,20,3779,12.048712730407715,17.132984161376953,,
0.002499999012798071,13.502678871154785,18.793991088867188,21,3959,,,,
,,,21,3959,12.16347885131836,17.11855697631836,,
0.002499999012798071,13.489980697631836,18.042360305786133,22,4139,,,,
,,,22,4139,12.452605247497559,17.67252540588379,,
0.002499999012798071,13.470321655273438,18.12232208251953,23,4319,,,,
,,,23,4319,12.342721939086914,17.58380889892578,,
0.002499999012798071,14.126860618591309,19.374338150024414,24,4499,,,,
,,,24,4499,11.877869606018066,16.582199096679688,,
0.002499999012798071,13.45399284362793,19.909191131591797,25,4679,,,,
,,,25,4679,11.839370727539062,16.512310028076172,,
0.002499999012798071,15.524776458740234,21.224224090576172,26,4859,,,,
,,,26,4859,11.846699714660645,16.55441665649414,,
0.002499999012798071,14.2689847946167,19.087465286254883,27,5039,,,,
,,,27,5039,12.35700511932373,17.632389068603516,,
0.002499999012798071,14.788719177246094,23.1075439453125,28,5219,,,,
,,,28,5219,12.027800559997559,16.915571212768555,,
0.002499999012798071,12.513973236083984,17.63469123840332,29,5399,,,,
,,,29,5399,11.641094207763672,16.434154510498047,,
0.002499999012798071,11.751874923706055,15.544800758361816,30,5579,,,,
,,,30,5579,11.892048835754395,16.83560562133789,,
0.002499999012798071,13.028348922729492,18.511165618896484,31,5759,,,,
,,,31,5759,11.609479904174805,16.34001922607422,,
0.002499999012798071,11.667207717895508,16.137725830078125,32,5939,,,,
,,,32,5939,11.535775184631348,16.55134391784668,,
0.002499999012798071,11.764644622802734,15.28628158569336,33,6119,,,,
,,,33,6119,11.88036060333252,16.719377517700195,,
0.002499999012798071,12.483543395996094,16.25941276550293,34,6299,,,,
,,,34,6299,11.15070915222168,15.558533668518066,,
0.002499999012798071,12.462003707885742,16.73545265197754,35,6479,,,,
,,,35,6479,11.780083656311035,16.501699447631836,,
0.002499999012798071,13.084638595581055,17.783519744873047,36,6659,,,,
,,,36,6659,11.689142227172852,16.24771499633789,,
0.002499999012798071,13.432826042175293,17.707433700561523,37,6839,,,,
,,,37,6839,12.420974731445312,17.31527328491211,,
0.002499999012798071,12.115494728088379,16.992616653442383,38,7019,,,,
,,,38,7019,11.441177368164062,15.971075057983398,,
0.0006249997531995177,10.851289749145508,15.026825904846191,39,7199,,,,
,,,39,7199,10.037805557250977,14.025683403015137,,
0.0006249997531995177,10.87109375,14.878606796264648,40,7379,,,,
,,,40,7379,9.625472068786621,13.397624969482422,,
0.0006249997531995177,10.760136604309082,14.666522979736328,41,7559,,,,
,,,41,7559,9.65632152557373,13.302423477172852,,
0.0006249997531995177,11.688186645507812,17.058460235595703,42,7739,,,,
,,,42,7739,9.574734687805176,13.31212043762207,,
0.0006249997531995177,10.4035005569458,14.169723510742188,43,7919,,,,
,,,43,7919,9.77918529510498,13.726780891418457,,
0.0006249997531995177,10.515852928161621,14.463356971740723,44,8099,,,,
,,,44,8099,9.645941734313965,13.47886848449707,,
0.0006249997531995177,11.082616806030273,14.87529468536377,45,8279,,,,
,,,45,8279,9.655557632446289,13.48088550567627,,
0.0006249997531995177,10.47978687286377,13.858177185058594,46,8459,,,,
,,,46,8459,9.638989448547363,13.452141761779785,,
0.00015624993829987943,10.210271835327148,13.815359115600586,47,8639,,,,
,,,47,8639,9.089887619018555,12.715418815612793,,
0.00015624993829987943,10.251139640808105,13.995609283447266,48,8819,,,,
,,,48,8819,9.11485767364502,12.721114158630371,,
0.00015624993829987943,10.175168991088867,13.825169563293457,49,8999,,,,
,,,49,8999,9.13106918334961,12.803184509277344,,
0.00015624993829987943,10.196122169494629,13.844337463378906,50,9179,,,,
