lr,val_mae,val_rmse,epoch,step,train_mae,train_rmse,test_mae,test_rmse
0.009799995459616184,1342.1649169921875,1358.52978515625,0,179,,,,
,,,0,179,1461.8857421875,1477.0406494140625,,
0.009600005112588406,649.0738525390625,793.75146484375,1,359,,,,
,,,1,359,912.027587890625,992.0736083984375,,
0.009400002658367157,227.65928649902344,248.81597900390625,2,539,,,,
,,,2,539,316.9530029296875,419.3561706542969,,
0.009200004860758781,36.71033477783203,61.43779754638672,3,719,,,,
,,,3,719,63.90693283081055,98.63702392578125,,
0.009000002406537533,64.08988952636719,72.7165298461914,4,899,,,,
,,,4,899,50.19404983520508,69.82372283935547,,
0.008799999952316284,57.96062469482422,64.0980453491211,5,1079,,,,
,,,5,1079,45.38033676147461,58.48095703125,,
0.008599997498095036,38.8817253112793,44.838680267333984,6,1259,,,,
,,,6,1259,43.29012680053711,53.865333557128906,,
0.008399995975196362,59.11210250854492,63.50789260864258,7,1439,,,,
,,,7,1439,41.941341400146484,51.047508239746094,,
0.008199998177587986,59.18768310546875,63.69089126586914,8,1619,,,,
,,,8,1619,40.976829528808594,49.28348159790039,,
0.007999996654689312,51.71846389770508,56.51082229614258,9,1799,,,,
,,,9,1799,40.519622802734375,48.46240234375,,
0.007800002116709948,69.07142639160156,73.44548034667969,10,1979,,,,
,,,10,1979,40.05364990234375,47.57524871826172,,
0.007600001525133848,52.91790008544922,57.82777786254883,11,2159,,,,
,,,11,2159,39.64573287963867,46.92414093017578,,
0.007400003261864185,36.31827163696289,41.347023010253906,12,2339,,,,
,,,12,2339,39.444190979003906,46.58970642089844,,
0.007200002204626799,39.271827697753906,44.26272201538086,13,2519,,,,
,,,13,2519,39.07139587402344,46.061317443847656,,
0.00699999975040555,24.86280632019043,29.753623962402344,14,2699,,,,
,,,14,2699,38.947364807128906,45.8435173034668,,
0.006799998693168163,22.763099670410156,27.599390029907227,15,2879,,,,
,,,15,2879,38.6664924621582,45.47321319580078,,
0.006599995773285627,24.50790786743164,29.156599044799805,16,3059,,,,
,,,16,3059,38.53329086303711,45.18153381347656,,
0.006399999838322401,27.125368118286133,31.694398880004883,17,3239,,,,
,,,17,3239,38.216064453125,44.857933044433594,,
0.006199998781085014,21.035947799682617,25.503997802734375,18,3419,,,,
,,,18,3419,38.157474517822266,44.663936614990234,,
0.005999999586492777,31.79187774658203,36.31697082519531,19,3599,,,,
,,,19,3599,37.90007781982422,44.457908630371094,,
0.0057999975979328156,32.98573303222656,37.361106872558594,20,3779,,,,
,,,20,3779,37.74357223510742,44.04621505737305,,
0.0056000021286308765,16.335601806640625,20.604738235473633,21,3959,,,,
,,,21,3959,37.673789978027344,44.08644104003906,,
0.005400001537054777,22.8367977142334,26.98082160949707,22,4139,,,,
,,,22,4139,37.50601577758789,43.84856414794922,,
0.0051999990828335285,13.038084983825684,17.463172912597656,23,4319,,,,
,,,23,4319,37.38592529296875,43.75833511352539,,
0.004999998025596142,20.791479110717773,24.760820388793945,24,4499,,,,
,,,24,4499,37.203861236572266,43.42227554321289,,
0.004800002556294203,12.826532363891602,17.18191909790039,25,4679,,,,
,,,25,4679,37.11359405517578,43.336917877197266,,
0.004600002430379391,12.300459861755371,16.4455509185791,26,4859,,,,
,,,26,4859,36.951229095458984,43.17509460449219,,
0.004399999976158142,18.86591148376465,23.12303352355957,27,5039,,,,
,,,27,5039,36.982513427734375,43.236175537109375,,
0.004199997987598181,31.525617599487305,35.08456039428711,28,5219,,,,
,,,28,5219,36.85114288330078,43.04407501220703,,
0.003999998327344656,41.098243713378906,44.055572509765625,29,5399,,,,
,,,29,5399,36.74349594116211,42.884864807128906,,
0.003800000762566924,36.03894805908203,39.253173828125,30,5579,,,,
,,,30,5579,36.661781311035156,42.77817153930664,,
0.0036000011023133993,34.89354705810547,38.00025939941406,31,5759,,,,
,,,31,5759,36.5750846862793,42.68777847290039,,
0.0033999993465840816,56.797916412353516,58.92230987548828,32,5939,,,,
,,,32,5939,36.38307189941406,42.381492614746094,,
0.0031999999191612005,55.43867111206055,57.51905822753906,33,6119,,,,
,,,33,6119,36.4417610168457,42.49199676513672,,
0.0029999997932463884,49.49824142456055,51.768463134765625,34,6299,,,,
,,,34,6299,36.28642272949219,42.307090759277344,,
0.0028000010643154383,57.40922164916992,59.48814010620117,35,6479,,,,
,,,35,6479,36.244510650634766,42.272342681884766,,
0.0025999995414167643,46.631343841552734,48.85934829711914,36,6659,,,,
,,,36,6659,36.182640075683594,42.08075714111328,,
0.0024000012781471014,55.40416717529297,57.50502014160156,37,6839,,,,
,,,37,6839,36.0577278137207,41.97124099731445,,
0.002199999988079071,52.90691375732422,54.92097473144531,38,7019,,,,
,,,38,7019,36.0028190612793,41.84079360961914,,
0.001999999163672328,47.96567916870117,50.15815353393555,39,7199,,,,
,,,39,7199,35.880828857421875,41.702613830566406,,
0.0018000005511566997,50.43021774291992,52.50566482543945,40,7379,,,,
,,,40,7379,35.801780700683594,41.61289978027344,,
0.0015999999595806003,43.3734130859375,45.75287628173828,41,7559,,,,
,,,41,7559,35.74271011352539,41.53501892089844,,
0.0014000005321577191,42.715240478515625,45.11319351196289,42,7739,,,,
,,,42,7739,35.66853713989258,41.40641403198242,,
0.0012000006390735507,41.96622085571289,44.402339935302734,43,7919,,,,
,,,43,7919,35.613040924072266,41.36378479003906,,
0.000999999581836164,40.17889404296875,42.82758331298828,44,8099,,,,
,,,44,8099,35.56467819213867,41.27580642700195,,
0.0007999999797903001,34.1597785949707,37.438236236572266,45,8279,,,,
,,,45,8279,35.46059036254883,41.114131927490234,,
0.0006000003195367754,28.393678665161133,32.437896728515625,46,8459,,,,
,,,46,8459,35.40650177001953,41.00177764892578,,
0.00039999998989515007,22.950653076171875,27.949460983276367,47,8639,,,,
,,,47,8639,35.31844711303711,40.86814498901367,,
0.00019999999494757503,17.066362380981445,22.63346290588379,48,8819,,,,
,,,48,8819,35.22655487060547,40.705223083496094,,
9.999999747378752e-05,14.414380073547363,19.556169509887695,49,8999,,,,
,,,49,8999,35.125797271728516,40.55912399291992,,
9.999999747378752e-05,13.888335227966309,18.713502883911133,50,9179,,,,
,,,50,9179,35.075321197509766,40.49306106567383,,
9.999999747378752e-05,13.88177490234375,18.711124420166016,51,9359,,,,
,,,51,9359,35.06096649169922,40.489261627197266,,
9.999999747378752e-05,13.851591110229492,18.669147491455078,52,9539,,,,
,,,52,9539,35.052982330322266,40.485328674316406,,
9.999999747378752e-05,13.854711532592773,18.67013168334961,53,9719,,,,
,,,53,9719,35.045310974121094,40.48093032836914,,
9.999999747378752e-05,13.872247695922852,18.68692970275879,54,9899,,,,
,,,54,9899,35.041259765625,40.47806930541992,,
9.999999747378752e-05,13.88740348815918,18.696577072143555,55,10079,,,,
,,,55,10079,35.03938293457031,40.47665023803711,,
9.999999747378752e-05,13.856512069702148,18.661096572875977,56,10259,,,,
,,,56,10259,35.03350830078125,40.47147750854492,,
